"Title","IssueID","IssueType","Description","PhotoUrl","Latitude","Longitude","LocationAddress","County","City","Agency","ReportedBy","ReportedDate","AIAnalysis","AIDetectedConditions","Severity","RecommendedPriority","RecommendedAction","AIConfidence","Status","AssignedTo","ApprovedBy","ApprovalDate","ResolvedDate","ResolutionNotes","EstimatedCost","AssetID","DuplicateOf"
"Road Sign report 081","FI-00081","Road Sign","Field report 81 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-81.jpg","45.517300","-122.680800","181 SW Demo Ave, Metro City","North County","Metro City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-08T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","76","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-05-08T16:00:00","2026-05-09T10:00:00","Repair completed and verified.","1847","SIGN-001",""
"Water Leak report 082","FI-00082","Water Leak","Field report 82 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-82.jpg","45.527100","-122.994600","182 SW Demo Ave, Hillview","West County","Hillview","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-11T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","77","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-05-11T17:00:00","2026-05-13T11:00:00","Repair completed and verified.","1984","WTR-002",""
"Park Maintenance report 083","FI-00083","Park Maintenance","Field report 83 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-83.jpg","45.363600","-122.614000","183 SW Demo Ave, Riverton","South County","Riverton","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-14T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","78","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-05-14T18:00:00","","","2121","PARK-003",""
"Building Inspection report 084","FI-00084","Building Inspection","Field report 84 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-84.jpg","44.951300","-123.044700","184 SW Demo Ave, Capital City","Central County","Capital City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-17T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","79","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-05-17T19:00:00","","","2258","BLDG-004",""
"Facilities report 085","FI-00085","Facilities","Field report 85 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-85.jpg","44.062600","-123.086800","185 SW Demo Ave, Lakeside","River County","Lakeside","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-20T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","80","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","2395","FAC-005",""
"Road Sign report 086","FI-00086","Road Sign","Field report 86 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-86.jpg","44.070800","-121.317700","186 SW Demo Ave, Summit","Mountain County","Summit","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-23T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Public Works crew to inspect, secure area, and complete repair.","81","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-05-23T21:00:00","","","2532","SIGN-006",""
"Water Leak report 087","FI-00087","Water Leak","Field report 87 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-87.jpg","45.515200","-122.683200","187 SW Demo Ave, Metro City","North County","Metro City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-26T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","82","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-05-26T22:00:00","2026-06-02T16:00:00","Repair completed and verified.","2669","WTR-007",""
"Park Maintenance report 088","FI-00088","Park Maintenance","Field report 88 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-88.jpg","45.525000","-122.997000","188 SW Demo Ave, Hillview","West County","Hillview","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-29T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","83","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","2806","PARK-008",""
"Building Inspection report 089","FI-00089","Building Inspection","Field report 89 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-89.jpg","45.361500","-122.616400","189 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-01T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","84","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-01T16:00:00","2026-06-10T10:00:00","Repair completed and verified.","2943","BLDG-009",""
"Park Maintenance report 090","FI-00090","Park Maintenance","Field report 90 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-90.jpg","45.516800","-122.676900","190 SW Demo Ave, Metro City","North County","Metro City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-04T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","85","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-04T17:00:00","2026-06-05T11:00:00","Repair completed and verified.","3080","PARK-013","FI-00020"
"Road Sign report 091","FI-00091","Road Sign","Field report 91 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-91.jpg","44.060500","-123.089200","191 SW Demo Ave, Lakeside","River County","Lakeside","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-07T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Public Works crew to inspect, secure area, and complete repair.","86","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-07T18:00:00","","","3217","SIGN-011",""
"Water Leak report 092","FI-00092","Water Leak","Field report 92 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-92.jpg","44.068700","-121.320100","192 SW Demo Ave, Summit","Mountain County","Summit","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-10T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","87","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-10T19:00:00","","","3354","WTR-012",""
"Park Maintenance report 093","FI-00093","Park Maintenance","Field report 93 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-93.jpg","45.527800","-122.685600","193 SW Demo Ave, Metro City","North County","Metro City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-13T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","88","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","3491","PARK-013",""
"Building Inspection report 094","FI-00094","Building Inspection","Field report 94 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-94.jpg","45.522900","-122.999400","194 SW Demo Ave, Hillview","West County","Hillview","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-16T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","89","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-16T21:00:00","","","3628","BLDG-014",""
"Facilities report 095","FI-00095","Facilities","Field report 95 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-95.jpg","45.359400","-122.606800","195 SW Demo Ave, Riverton","South County","Riverton","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-19T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","90","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-19T22:00:00","2026-06-25T16:00:00","Repair completed and verified.","3765","FAC-015",""
"Road Sign report 096","FI-00096","Road Sign","Field report 96 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-96.jpg","44.947100","-123.037500","196 SW Demo Ave, Capital City","Central County","Capital City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-22T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","91","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","3902","SIGN-016",""
"Water Leak report 097","FI-00097","Water Leak","Field report 97 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-97.jpg","44.058400","-123.091600","197 SW Demo Ave, Lakeside","River County","Lakeside","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-25T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","92","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-25T16:00:00","2026-07-03T10:00:00","Repair completed and verified.","4039","WTR-017",""
"Park Maintenance report 098","FI-00098","Park Maintenance","Field report 98 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-98.jpg","44.066600","-121.322500","198 SW Demo Ave, Summit","Mountain County","Summit","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-06-28T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","93","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-06-28T17:00:00","2026-07-07T11:00:00","Repair completed and verified.","4176","PARK-018",""
"Building Inspection report 099","FI-00099","Building Inspection","Field report 99 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-99.jpg","45.525700","-122.688000","199 SW Demo Ave, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-01T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","94","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-01T18:00:00","","","4313","BLDG-019",""
"Water Leak report 100","FI-00100","Water Leak","Field report 100 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-100.jpg","45.519900","-122.681500","200 SW Demo Ave, Metro City","North County","Metro City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-04T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","70","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-04T19:00:00","","","4450","WTR-007","FI-00030"
"Road Sign report 101","FI-00101","Road Sign","Field report 101 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-101.jpg","45.357300","-122.609200","201 SW Demo Ave, Riverton","South County","Riverton","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-07T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","71","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","4587","SIGN-021",""
"Water Leak report 102","FI-00102","Water Leak","Field report 102 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-102.jpg","44.945000","-123.039900","202 SW Demo Ave, Capital City","Central County","Capital City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-10T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","72","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-10T21:00:00","","","4724","WTR-022",""
"Park Maintenance report 103","FI-00103","Park Maintenance","Field report 103 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-103.jpg","44.056300","-123.094000","203 SW Demo Ave, Lakeside","River County","Lakeside","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-13T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","73","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-13T22:00:00","2026-07-18T16:00:00","Repair completed and verified.","4861","PARK-023",""
"Building Inspection report 104","FI-00104","Building Inspection","Field report 104 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-104.jpg","44.064500","-121.324900","204 SW Demo Ave, Summit","Mountain County","Summit","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-16T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","74","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","4998","BLDG-024",""
"Road Sign report 105","FI-00105","Road Sign","Field report 105 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-105.jpg","44.060500","-123.089200","205 SW Demo Ave, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-19T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","75","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-19T16:00:00","2026-07-26T10:00:00","Repair completed and verified.","5135","SIGN-011",""
"Road Sign report 106","FI-00106","Road Sign","Field report 106 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-106.jpg","45.533400","-122.992200","206 SW Demo Ave, Hillview","West County","Hillview","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-22T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","76","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-22T17:00:00","2026-07-30T11:00:00","Repair completed and verified.","5272","SIGN-026",""
"Water Leak report 107","FI-00107","Water Leak","Field report 107 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-107.jpg","45.369900","-122.611600","207 SW Demo Ave, Riverton","South County","Riverton","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-25T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","77","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-25T18:00:00","","","5409","WTR-027",""
"Park Maintenance report 108","FI-00108","Park Maintenance","Field report 108 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-108.jpg","44.942900","-123.042300","208 SW Demo Ave, Capital City","Central County","Capital City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-28T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","78","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-07-28T19:00:00","","","5546","PARK-028",""
"Building Inspection report 109","FI-00109","Building Inspection","Field report 109 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-109.jpg","44.054200","-123.096400","209 SW Demo Ave, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-07-31T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","79","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","5683","BLDG-029",""
"Road Sign report 110","FI-00110","Road Sign","Field report 110 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-110.jpg","45.357300","-122.609200","210 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-03T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","80","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-03T21:00:00","","","5820","SIGN-021",""
"Road Sign report 111","FI-00111","Road Sign","Field report 111 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-111.jpg","45.521500","-122.680800","211 SW Demo Ave, Metro City","North County","Metro City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-06T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","81","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-06T22:00:00","2026-08-10T16:00:00","Repair completed and verified.","5957","SIGN-031",""
"Water Leak report 112","FI-00112","Road Sign","Field report 112 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-112.jpg","44.054200","-123.090100","SIGN-021 recurring Lakeside corridor, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-09T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","82","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","6094","SIGN-021",""
"Park Maintenance report 113","FI-00113","Park Maintenance","Field report 113 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-113.jpg","45.367800","-122.614000","213 SW Demo Ave, Riverton","South County","Riverton","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-12T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","83","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-12T16:00:00","2026-08-18T10:00:00","Repair completed and verified.","6231","PARK-033",""
"Building Inspection report 114","FI-00114","Building Inspection","Field report 114 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-114.jpg","44.955500","-123.044700","214 SW Demo Ave, Capital City","Central County","Capital City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-15T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","84","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-15T17:00:00","2026-08-22T11:00:00","Repair completed and verified.","6368","BLDG-034",""
"Facilities report 115","FI-00115","Road Sign","Field report 115 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-115.jpg","45.517300","-122.680800","SIGN-001 recurring Metro City corridor, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-18T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","85","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-18T18:00:00","","","6505","SIGN-001",""
"Road Sign report 116","FI-00116","Road Sign","Field report 116 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-116.jpg","44.060300","-121.317700","216 SW Demo Ave, Summit","Mountain County","Summit","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-21T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","86","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-21T19:00:00","","","6642","SIGN-036",""
"Water Leak report 117","FI-00117","Water Leak","Field report 117 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-117.jpg","45.519400","-122.683200","217 SW Demo Ave, Metro City","North County","Metro City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-24T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","87","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","6779","WTR-037",""
"Park Maintenance report 118","FI-00118","Park Maintenance","Field report 118 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-118.jpg","45.529200","-122.997000","218 SW Demo Ave, Hillview","West County","Hillview","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-27T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","88","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-27T21:00:00","","","6916","PARK-038",""
"Building Inspection report 119","FI-00119","Building Inspection","Field report 119 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-119.jpg","45.365700","-122.616400","219 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-08-30T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","89","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-08-30T22:00:00","2026-09-02T16:00:00","Repair completed and verified.","7053","BLDG-039",""
"Facilities report 120","FI-00120","Facilities","Field report 120 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-120.jpg","44.953400","-123.035100","220 SW Demo Ave, Capital City","Central County","Capital City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-09-02T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","90","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","7190","FAC-040",""

